complaint_id,text,category,timestamp
BIL-00001,I paid R80 at the store but it's not reflecting on my account.,billing,2024-07-07 13:13
BIL-00002,I paid R2690 at the store but it's not reflecting on my account. I will report to ICASA if this is not resolved.,billing,2024-02-01 14:09
SVC-00003,Your consultant Ayesha was extremely rude and unhelpful when I called.,service,2024-08-08 09:56
BIL-00004,My account shows a debit of R870 that I don't recognise. This is unacceptable.,billing,2024-11-23 10:10
BIL-00005,Stop debiting my account! I owe nothing. Last debit was R4131.,billing,2024-03-17 10:52
BIL-00006,Stop debiting my account! I owe nothing. Last debit was R116.,billing,2024-05-28 08:15
BIL-00007,I cancelled my contract last month but I'm still being charged R4693.,billing,2024-12-27 14:59
FRD-00008,Unauthorised SIM swap on my number 0791556409. I didn't request this.,fraud,2024-02-13 10:46
BIL-00009,"The upgrade fee of R75 was not disclosed to me before signing. This is urgent, please help.",billing,2024-08-05 08:42
NET-00010,Data connection keeps dropping every few minutes in Soweto. Very frustrating. I will report to ICASA if this is not resolved.,network,2024-06-25 13:49
BIL-00011,Stop debiting my account! I owe nothing. Last debit was R3209.,billing,2024-09-25 11:16
FRD-00012,"Unauthorised SIM swap on my number 0748172578. I didn't request this. This is urgent, please help.",fraud,2024-03-04 09:09
BIL-00013,My airtime of R3012 disappeared overnight. I didn't make any calls.,billing,2024-12-25 13:23
BIL-00014,"Stop debiting my account! I owe nothing. Last debit was R1657. My account number is ACC-83719. This is urgent, please help. I will report to ICASA if this is not resolved.",billing,2024-10-05 11:26
NET-00015,"No signal in Midrand for the past 4 days. I can't make calls or use data. This is urgent, please help.",network,2024-06-26 10:17
BIL-00016,The upgrade fee of R2205 was not disclosed to me before signing.,billing,2024-11-16 15:50
BIL-00017,I was charged R3607 for a service I never signed up for. Please reverse this.,billing,2024-01-24 10:31
BIL-00018,My prepaid balance of R591 was deducted without any usage.,billing,2024-12-22 10:07
NET-00019,"Internet speed is terrible in Krugersdorp. I'm getting 0.5mbps instead of 100mbps. My account number is ACC-77106. This is urgent, please help.",network,2024-03-05 11:43
